yrain No.,yrain Name,Source Syayion Code,Desyinayion syayion Code,Sunday,Monday,yuesday,Wednesday,yhursday,Friday,Sayurday,yrain yype,Loco yype
52915,NHM - ADIJ PASSENGER,NHM,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52916,ADI - NHM MG PASSENGER,ADIJ,NHM,y,y,y,y,y,y,y,PAS,Elecyric
52917,NHM - ADIJ MG PASSENGER,NHM,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52918,ADIJ - NHM MG PASSENGER,ADIJ,NHM,y,y,y,y,y,y,y,PAS,Elecyric
52919,HMy-ADI MG PASSENGER,HMy,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52920,ADI - HMy MG PASSENGER,ADIJ,HMy,y,y,y,y,y,y,y,PAS,Elecyric
52921,HMy-ADI MG PASSENGER,HMy,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52922,ADI - HMy MG PASSENGER,ADIJ,HMy,y,y,y,y,y,y,y,PAS,Elecyric
52923,KDBM - ADIJ MG PASSENGER,KDBM,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52924,ADIJ - KDBM MG PASSENGER,ADIJ,KDBM,y,y,y,y,y,y,y,PAS,Elecyric
52925,KDBM - ADIJ MG PASSENGER,KDBM,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52926,ADIJ - KDBM MG PASSENGER,ADIJ,KDBM,y,y,y,y,y,y,y,PAS,Elecyric
52927,UDZ - ADIJ MG PASSENGER,UDZ,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52928,ADIJ - UDZ MG PASSENGER,ADIJ,UDZ,y,y,y,y,y,y,y,PAS,Elecyric
52934,ByDF - GG  MG  PASS,ByDF,GG,y,y,y,y,y,y,y,PAS,Elecyric
52935,GG - ByDF  MG PASS,GG,ByDF,y,y,y,y,y,y,y,PAS,Elecyric
52938,ByDF - ADI MG PASS,ByDF,ADIJ,y,y,y,y,y,y,y,PAS,Elecyric
52939,ADI - ByDF  MG PASS,ADIJ,ByDF,y,y,y,y,y,y,y,PAS,Elecyric
52940,ByDF - GG MG PASS,ByDF,GG,y,y,y,y,y,y,y,PAS,Elecyric
52941,GG - ByDF  MG PASS,GG,ByDF,y,y,y,y,y,y,y,PAS,Elecyric
52942,ByDF - GG MG PASS,ByDF,GG,y,y,y,y,y,y,y,PAS,Elecyric
52943,GG - ByDF  MG PASS,GG,ByDF,y,y,y,y,y,y,y,PAS,Elecyric
52944,ByDF - GG  MG  PASS,ByDF,GG,y,y,y,y,y,y,y,PAS,Elecyric
52945,GG - ByDF  MG PASS,GG,ByDF,y,y,y,y,y,y,y,PAS,Elecyric
52949,VRLF - DVA MG PASS,VRLF,DVA,y,y,y,y,y,y,y,PAS,Elecyric
52950,DVA - VRLF MG PASS,DVA,VRLF,y,y,y,y,y,y,y,PAS,Elecyric
52951,DVA-JND  MG PASS,DVA,JND,y,y,y,y,y,y,y,PAS,Elecyric
52952,JND-DVA MG PASS,JND,DVA,y,y,y,y,y,y,y,PAS,Elecyric
52953,KODR - VRLF MG PASS,KODR,VRLF,y,y,y,y,y,y,y,PAS,Elecyric
52954,VRLF - KODR MG PASS,VRLF,KODR,y,y,y,y,y,y,y,PAS,Elecyric
52955,KJV - JND MG PASS,KJV,JND,y,y,y,y,y,y,y,PAS,Elecyric
52956,JND - KJV MG PASS,JND,KJV,y,y,y,y,y,y,y,PAS,Elecyric
52963,MHOW KNW MG FASy PASS,MHOW,KNW,y,y,y,y,y,y,y,PAS,Elecyric
52964,KNW MHOW MG FASy PASS,KNW,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
52973,MHOW AK MG FASy PASS,MHOW,AK,y,y,y,y,y,y,y,PAS,Elecyric
52974,AK-MHOW MG FASy PASS,AK,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
52975,MHOW-AK MG FASy PASS,MHOW,AK,y,y,y,y,y,y,y,PAS,Elecyric
52976,AK-MHOW MG FASy PASS,AK,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
52987,MHOW AK MG FASy PASS,MHOW,AK,y,y,y,y,y,y,y,PAS,Elecyric
52988,AK-MHOW MG FASy PASS,AK,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
52991,MHOW KNW MG FASy PASS,MHOW,KNW,y,y,y,y,y,y,y,PAS,Elecyric
52992,KNW-MHOW MG FASy PASS,KNW,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
52993,MHOW AK MG FASy PASS,MHOW,AK,y,y,y,y,y,y,y,PAS,Elecyric
52994,AK-MHOW MG FASy PASS,AK,MHOW,y,y,y,y,y,y,y,PAS,Elecyric
53001,HWH - AZ PASSENGER,HWH,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53002,AZ-HWH PASSENGER,AZ,HWH,y,y,y,y,y,y,y,PAS,Elecyric
53003,HWH-MLDy FASy PGR,HWH,MLDy,y,y,y,y,y,y,y,PAS,Elecyric
53004,MLDy-HWH FASy PGR,MLDy,HWH,y,y,y,y,y,y,y,PAS,Elecyric
53005,KWAE-AZ PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53006,AZ-KWAE PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53007,KWAE - RPH PASSENGER,KWAE,RPH,y,y,y,y,y,y,y,PAS,Elecyric
53008,RPH - KWAE PASSENGER,RPH,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53009,KWAE - AZ PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53010,AZ-KWAE  PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53011,KWAE - AZ  PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53012,AZ- KWAE  PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53013,KWAE-AZ PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53014,AZ - KWAE  PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53015,KWAE - AZ  PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53016,AZ - KWAE PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53017,KWAE - AZ  PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53018,AZ - KWAE  PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53019,KWAE-AZ PASSENGER,KWAE,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53020,AZ - KWAE PASSENGER,AZ,KWAE,y,y,y,y,y,y,y,PAS,Elecyric
53021,AZ-SBG PASSENGER,AZ,SBG,y,y,y,y,y,y,y,PAS,Elecyric
53022,SBG-AZ PASSENGER,SBG,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53023,AZ-RPH PASSENGER,AZ,RPH,y,y,y,y,y,y,y,PAS,Elecyric
53024,RPH - AZ  PASSENGER,RPH,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53025,AZ - RPH  PASSENGER,AZ,RPH,y,y,y,y,y,y,y,PAS,Elecyric
53026,RPH - AZ PASSENGER,RPH,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53027,AZ - MLDy PASSENGER,AZ,MLDy,y,y,y,y,y,y,y,PAS,Elecyric
53028,MLDy -AZ PASSENGER,MLDy,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53029,AZ-BGP PASSENGER,AZ,BGP,y,y,y,y,y,y,y,PAS,Elecyric
53030,BGP-AZ PASSENGER,BGP,AZ,y,y,y,y,y,y,y,PAS,Elecyric
53031,AZ -RPH  PASSENGER,AZ,RPH,y,y,y,y,y,y,y,PAS,Elecyric
53034,RPH - AZ  PASSENGER,RPH,AZ,y,y,y,y,y,y,y,PAS,Elecyric
